upstream_prefix	fedory_prefix	policy	note
.claude/	-	ignore	Upstream agent configuration is not distributed by Fedory
.github/	.github/	review	Review automation changes independently for this repository
bin/omarchy-	bin/fedory-	fedora-rewrite	Rename commands and preserve Fedora package and privilege behavior
bin/	bin/	fedora-rewrite	Rename commands and preserve Fedora package and privilege behavior
install/omarchy-base.packages	install/fedory-base.packages	fedora-rewrite	Translate Arch packaging and system setup to Fedora
install/	install/	fedora-rewrite	Translate Arch packaging and system setup to Fedora
migrations/	migrations/	fedora-rewrite	Reimplement user-visible upgrade behavior as a Fedory migration
config/	config/	port	Port user configuration unless it depends on Arch-only software
default/omarchy-skill/	default/fedory-skill/	review	Review skill guidance against Fedory commands and runtime contracts
default/omarchy/	default/fedory/	review	Review defaults and translate the Fedory configuration namespace
default/systemd/user/omarchy-	default/systemd/user/fedory-	review	Review user-unit lifecycle and translate the Fedory service namespace
default/	default/	review	Review defaults and binary assets for licensing and Fedory shell compatibility
themes/	themes/	review	Review palette behavior and artwork provenance before porting
shell/	shell/	port	Port shell behavior while preserving Fedory plugin and IPC contracts
applications/	applications/	port	Port desktop entries after checking Fedora application IDs
packaging/	packaging/	fedora-rewrite	Record upstream package changes in the Fedora package map
docs/omarchy-shell.md	docs/fedory-shell.md	review	Port shell documentation through the Fedory plugin and IPC contracts
etc/fastfetch/	default/fastfetch/	review	Port Fastfetch defaults into Fedory's shipped default tree
*	-	review	Manually classify project metadata and new top-level areas
